"Result  :  Query Result"
"Save Time: 03/01/2019 13:31:42"

"User Name:xli"

"Total 13,675   Records"

"Start Time","Period","NE Name","ABCF","AAR Message Success Rate on A-BCF (%)","Number of AAA Messages Received by A-BCF (times)","Number of AAR Messages Sent by A-BCF (times)","Number of ABCF AAA Timeout Times (times)","Number of ABCF Dedicated Bearer Reestablishment Successes (times)","Number of ABCF Dedicated Bearer Reestablishment Times (times)","Number of A-BCF-Received AAA Messages Carrying DUPLICATED_AF_SESSION (times)","Number of A-BCF-Received AAA Messages Carrying FILTER_RESTRICTIONS (times)","Number of A-BCF-Received AAA Messages Carrying INVALID_SERVICE_INFORMATION (times)","Number of A-BCF-Received AAA Messages Carrying IP-CAN_SESSION_NOT_AVAILABLE (times)","Number of A-BCF-Received AAA Messages Carrying REQUESTED_SERVICE_NOT_AUTHORIZED (times)","Number of A-BCF-Received AAA Messages Carrying TEMPORARY_NETWORK_FAILURE (times)","Number of A-BCF-Received AAA Messages Carrying UNAUTHORIZED_NON_EMERGENCY_SESSION (times)","Number of ABCF-Received ASR Messages Before Call Answering (times)","Number of ABCF-Received ASR Messages Before Call Establishment (times)","Number of A-BCF-Received ASR Messages Carrying BEARER_RELEASED (times)","Number of ABCF-Received ASR Messages Carrying BEARER_RELEASED Before Call Answering (times)","Number of ABCF-Received ASR Messages Carrying BEARER_RELEASED Before Call Establishment (times)","Number of ABCF-Received ASR Messages Carrying BEARER_RELEASED During Calls (times)","Number of A-BCF-Received ASR Messages Carrying INSUFFICIENT_BEARER_RESOURCES (times)","Number of ABCF-Received ASR Messages Carrying INSUFFICIENT_BEARER_RESOURCES Before Call Answering (times)","Number of ABCF-Received ASR Messages Carrying INSUFFICIENT_BEARER_RESOURCES Before Call Establishment (times)","Number of ABCF-Received ASR Messages Carrying INSUFFICIENT_BEARER_RESOURCES During Calls (times)","Number of A-BCF-Received ASR Messages Carrying INSUFFICIENT_SERVER_RESOURCES (times)","Number of ABCF-Received ASR Messages Carrying INSUFFICIENT_SERVER_RESOURCES Before Call Answering (times)","Number of ABCF-Received ASR Messages Carrying INSUFFICIENT_SERVER_RESOURCES Before Call Establishment (times)","Number of ABCF-Received ASR Messages Carrying INSUFFICIENT_SERVER_RESOURCES During Calls (times)","Number of A-BCF-Received ASR Messages Carrying PS_TO_CS_HANDOVER (times)","Number of ABCF-Received ASR Messages Carrying PS_TO_CS_HANDOVER Before Call Answering (times)","Number of ABCF-Received ASR Messages Carrying PS_TO_CS_HANDOVER Before Call Establishment (times)","Number of ABCF-Received ASR Messages Carrying PS_TO_CS_HANDOVER During Calls (times)","Number of ABCF-Received ASR Messages During Calls (times)","Number of A-BCF-Received ASR Messages for Session Release (times)","Number of A-BCF-Received RAR Messages Carrying BEARER_RELEASED (times)","Number of A-BCF-Received RAR Messages Carrying charging-correlaton-exchange (times)","Number of A-BCF-Received RAR Messages Carrying indication-of-access-network-info-report (times)","Number of A-BCF-Received RAR Messages Carrying indication-of-connection-status (times)","Number of A-BCF-Received RAR Messages Carrying indication-of-failed-resource-allocation (times)","Number of A-BCF-Received RAR Messages Carrying indication-of-loss-of-bearer (times)","Number of A-BCF-Received RAR Messages Carrying indication-of-recovery-of-bearer (times)","Number of A-BCF-Received RAR Messages Carrying indication-of-release-of-bearer (times)","Number of A-BCF-Received RAR Messages Carrying indication-of-resource-status (times)","Number of A-BCF-Received RAR Messages Carrying indication-of-successful-resource-allocation (times)","Number of A-BCF-Received RAR Messages Carrying INSUFFICIENT_BEARER_RESOURCES (times)","Number of A-BCF-Received RAR Messages Carrying INSUFFICIENT_SERVER_RESOURCES (times)","Number of A-BCF-Received RAR Messages Carrying ip-can-change (times)","Number of A-BCF-Received RAR Messages Carrying ip-can-change (for Registered Users) (times)","Number of A-BCF-Received RAR Messages Carrying PS_TO_CS_HANDOVER (times)","Number of A-BCF-Sent STR Messages Carrying DIAMETER_ADMINISTRATIVE (times)","Number of A-BCF-Sent STR Messages Carrying DIAMETER_BAD_ANSWER (times)","Number of A-BCF-Sent STR Messages Carrying DIAMETER_LINK_BROKEN (times)","Number of A-BCF-Sent STR Messages Carrying DIAMETER_LOGOUT (times)","Number of A-BCF-Sent STR Messages Carrying DIAMETER_SERVICE_NOT_PROVIDED (times)","Number of A-BCF-Sent STR Messages Carrying DIAMETER_SESSION_TIMEOUT (times)","Number of ABCF STA Timeout Times (times)","Number of ASA Messages Sent by A-BCF (times)","Number of ASR Messages Received by A-BCF (times)","Number of Negative AAA Messages Received by A-BCF (times)","Number of Positive AAA Messages Received by A-BCF (times)","Number of RAA Messages Sent by A-BCF (times)","Number of RAR Messages Received by A-BCF (times)","Number of STA Messages Received by A-BCF (times)","Number of STR Messages Sent by A-BCF (times)"
02/01/2019 01:45:00,15,"rn2imsbc031","Entity name=ABCF",99.706,3399,3399,0,0,0,0,0,1,9,0,0,0,0,17,3,0,1,1,12,0,9,3,0,0,0,0,190,0,0,0,9,16,0,0,1699,0,0,0,0,0,0,0,0,0,1,1,0,521,0,1,1933,95,0,0,206,206,10,3389,2373,2374,2551,2552
02/01/2019 01:45:00,15,"ofbh1imsbc007","Entity name=ABCF",99.659,2634,2637,0,0,0,0,0,0,6,0,0,0,0,13,2,0,0,0,15,0,11,4,0,0,0,0,164,0,0,0,11,18,0,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,1531,71,0,0,182,182,6,2628,1796,1796,1966,1966
02/01/2019 01:45:00,15,"lpzg1imsbc007","Entity name=ABCF",99.498,2389,2389,0,0,0,0,0,0,12,0,0,0,0,14,2,0,1,0,13,0,13,0,0,0,0,0,113,0,0,0,1,15,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,1360,78,0,0,128,128,12,2377,1677,1677,1798,1798
02/01/2019 01:45:00,15,"hmbg6imsbc007","Entity name=ABCF",99.563,3658,3659,0,0,0,0,0,1,14,0,0,0,0,6,3,0,1,2,5,0,5,0,0,0,0,0,161,0,0,0,5,9,0,0,1865,0,0,0,0,0,0,0,0,0,0,0,0,564,0,1,1910,163,0,0,170,170,15,3643,2390,2390,2640,2641
02/01/2019 01:45:00,15,"mnch4imsbc007","Entity name=ABCF",99.678,3101,3102,0,0,0,0,0,1,8,0,0,0,0,17,5,0,0,1,15,0,15,0,0,0,0,0,180,0,0,0,7,21,0,0,1514,0,0,0,0,0,0,0,0,0,1,1,0,481,0,0,1677,117,0,0,201,201,9,3092,2000,2001,2279,2280
02/01/2019 02:00:00,15,"rn2imsbc031","Entity name=ABCF",99.78,3189,3189,0,0,0,0,0,0,7,0,0,0,0,14,7,0,3,1,8,0,7,1,0,0,0,0,189,0,0,0,7,16,0,0,1626,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,1850,153,0,0,205,205,7,3182,2319,2319,2469,2469
02/01/2019 02:00:00,15,"ofbh1imsbc007","Entity name=ABCF",99.414,2220,2219,0,0,0,0,0,0,14,0,0,0,0,9,0,0,0,0,11,0,8,2,0,0,0,0,133,0,0,0,12,11,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,1249,76,0,0,144,144,14,2206,1514,1514,1635,1635
02/01/2019 02:00:00,15,"lpzg1imsbc007","Entity name=ABCF",99.48,2117,2117,0,0,0,0,0,0,11,0,0,0,0,4,2,0,0,1,3,0,3,0,0,0,0,0,91,0,0,0,3,8,0,0,1002,0,0,0,0,0,0,0,0,0,1,1,0,314,0,2,1153,78,0,0,99,99,11,2106,1435,1436,1546,1548
02/01/2019 02:00:00,15,"hmbg6imsbc007","Entity name=ABCF",99.553,3353,3354,0,0,0,0,0,0,14,0,0,0,0,13,2,0,1,1,10,0,10,0,0,0,0,0,149,0,0,0,9,13,0,0,1651,0,0,0,0,0,0,0,0,0,0,0,0,527,0,1,1865,122,0,0,162,162,14,3339,2237,2237,2521,2522
02/01/2019 02:00:00,15,"mnch4imsbc007","Entity name=ABCF",99.689,2894,2894,0,0,0,0,0,0,9,0,0,0,2,18,5,0,2,3,18,2,15,1,0,0,0,0,156,0,0,0,7,23,0,0,1411,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,1542,123,0,0,179,179,9,2885,1803,1803,2087,2087
02/01/2019 02:15:00,15,"rn2imsbc031","Entity name=ABCF",99.534,2789,2790,0,0,0,0,0,0,12,0,0,0,1,16,7,0,0,1,14,1,11,2,0,0,0,0,163,0,0,0,11,21,0,0,1464,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,1538,102,0,0,184,184,12,2777,1955,1955,2054,2055
02/01/2019 02:15:00,15,"ofbh1imsbc007","Entity name=ABCF",99.616,2085,2086,0,0,0,0,0,0,7,0,0,0,1,11,7,0,5,0,8,1,3,1,0,0,0,0,124,0,0,0,11,15,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,1153,71,0,0,139,139,7,2078,1425,1425,1549,1549
02/01/2019 02:15:00,15,"lpzg1imsbc007","Entity name=ABCF",99.843,1916,1916,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,6,0,5,0,0,0,0,0,94,0,0,0,1,9,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,1046,58,0,0,103,103,3,1913,1317,1317,1399,1399
